Título;Ano;Títular;Linguagem;Autores;Campo de Aplicação;Tipo Programa
TIME PERCEPTION SOUND;2019;IFPI, UFPI;JAVA;FRANCISCO ELEZIER XAVIER MAGALHÃES, FRANCISCO GERSON AMORIM DE MENESES, FRANCISCO VICTOR COSTA MARINHO, GILDARIO DIAS LIMA, IRIS JORDÂNIA LUZ MOURA, MARCELO MESQUITA SILVA, MARCOS AURELIO AYRES DA SILVA, SILMAR TEIXEIRA LIMA, VICTOR HUGO DO VALE BASTOS;IN-02, PS-01, SD-01, SD-06;FA-01, SM-01, SO-02, SO-04
PREDICTED HLA THREE-DIMENSIONAL STRUCTURES DATABASE;2019;IFPI, UFPI;RUBY;ADALBERTO SOCORRO DA SILVA, ANTONIO GILBERTO BORGES COELHO, ANTONIO VANILDO DE SOUSA LIMA, DEYLANE MENEZES TELES E OLIVEIRA, FRANCISCO DAS CHAGAS ALVES LIMA, JHONATAN MATHEUS SOUSA COSTA, LUIZ CLAUDIO DEMES DA MATA SOUSA, MÁRIO SÉRGIO COELHO MARROQUIM, RAFAEL MELO SANTOS DE SERPA BRANDÃO, RICARDO MARTINS RAMOS, SEMIRAMIS JAMIL HADAD DO MONTE;BL-07, SD-09;GI-01
HLA Haplotype Matcher;2019;UFPI;RUBY;ADALBERTO SOCORRO DA SILVA, ANTONIO GILBERTO BORGES COELHO, LUIZ CLAUDIO DEMES DA MATA SOUSA, MÁRIO SÉRGIO COELHO MARROQUIM, SEMIRAMIS JAMIL HADAD DO MONTE;BL-07, SD-09;IA-02, IT-03
SteelApp NBR8800;2019;UFPI;JAVA;EDUARDO MARTINS FONTES DO RÊGO, RODRIGO DINIZ FILGUEIRAS;CC-05, ED-04, IN-03;SO-02
SPIBIRADS;2019;UFPI;C++;BENEDITO BORGES DA SILVA, ELMO DE JESUS NERY JÚNIOR;SD-05, SD-06, SD-08, SD-09;GI-08, IA-01, TC-04
PiPa Irrigation;2019;UFPI;VISUAL BASIC;JOSÉ ORLANDO PIAUILINO FERREIRA, MARIA EVA CLEMENCIA FONSECA DE CASTRO SILVA;AG-06;AP-01
EEGChec - Averiguação de Similaridade em Imagens de EG;2018;IFPI, UFPI;HTML;FRANCISCO GERSON AMORIM DE MENESES, GILDÁRIO DIAS LIMA, IRIS JORDANIA LUZ MOURA, SILMAR SILVA TEIXEIRA;SD-01, SD-03, SD-07;IT-02 , TC-03 , TC-04
EEGChec - Averiguação de Similaridade em Imagens de EG;2018;IFPI, UFPI;PHP;FRANCISCO GERSON AMORIM DE MENESES, GILDÁRIO DIAS LIMA, IRIS JORDANIA LUZ MOURA, SILMAR SILVA TEIXEIRA;SD-01, SD-03, SD-07;IT-02 , TC-03 , TC-04
EEGChec - Averiguação de Similaridade em Imagens de EG;2018;IFPI, UFPI;PYTHON;FRANCISCO GERSON AMORIM DE MENESES, GILDÁRIO DIAS LIMA, IRIS JORDANIA LUZ MOURA, SILMAR SILVA TEIXEIRA;SD-01, SD-03, SD-07;IT-02 , TC-03 , TC-04
COMO VAI SUA LOMBAR?;2018;UFPI;JAVA;ANDERSON NOGUEIRA MENDES, ARIEL SOARES TELES, FUAD AHMAD HAZIME, POLYANNA GOMES LACERDA CAVALCANTE, SILMAR SILVA TEIXEIRA;SD-06;AP-01
COMO VAI SUA LOMBAR?;2018;UFPI;XML;ANDERSON NOGUEIRA MENDES, ARIEL SOARES TELES, FUAD AHMAD HAZIME, POLYANNA GOMES LACERDA CAVALCANTE, SILMAR SILVA TEIXEIRA;SD-06;AP-01
CUIDADO PRÉ-NATAL;2018;UFPI;JAVA;GLAYS REGE DANTAS LIMA PIRES, MALVINA THAÍS PACHECO;SD-01;AP-01
SOFTWARE DE MORFOMETRIA DE OVINOS E CAPRINOS COM TELEMETRIA;2018;UFPI;RUBY;ANTÔNIO DE SOUSA JÚNIOR, CONSTANTINO AUGUSTO DIAS NETO, MARIA ACELINA MARTINS CARVALHO;AG-01;CD-04, FA-01, SO-02
BIBLIOTECAS OPENCL PARA AS ARQUITETURAS MANYCORE METAL E ARACHNOC;2018;UFPI;C;IVAN SARAIVA SILVA, JÔNATAS CARNEIRO DOS SANTOS FERREIRA;IF-07, IF-10, IN-02;DS-05
BIBLIOTECAS OPENCL PARA AS ARQUITETURAS MANYCORE METAL E ARACHNOC;2018;UFPI;C++;IVAN SARAIVA SILVA, JÔNATAS CARNEIRO DOS SANTOS FERREIRA;IF-07, IF-10, IN-02;DS-05
DPI-CARE-Didactic Processor For Computer Architecture Education;2018;UFPI;VHDL;FRANCISCO CARLOS SILVA JÚNIOR, IVAN SARAIVA SILVA;ED-03, ED-04, IF-02;FA-01, SM-01
PLATAFORMA METAL;2018;UFPI;C++;IVAN SARAIVA SILVA, RAMON SANTOS NEPOMUCENO;CO-02, EN-05, IN-02;DS-06, SM-01
ClassiMamo;2018;UFPI;C++;BENEDITO BORGES DA SILVA, FRANCISCO ADELTON ALVES RIBEIRO;SD-05, SD-06, SD-08, SD-09;GI-08, IA-01, TC-04
CaprioviMobile;2018;UFPI;CSS;JOSÉ LINDENBERG ROCHA SARMENTO, LAYLSON DA SILVA BORGES, OTÁVIO CURY DA COSTA CASTRO, PEDRO DE ALCÂNTARA DOS SANTOS NETO;AG-10;FA-01, GI-01, GI-04, IA-02, TC-01
CaprioviMobile;2018;UFPI;HTML;JOSÉ LINDENBERG ROCHA SARMENTO, LAYLSON DA SILVA BORGES, OTÁVIO CURY DA COSTA CASTRO, PEDRO DE ALCÂNTARA DOS SANTOS NETO;AG-10;FA-01, GI-01, GI-04, IA-02, TC-01
CaprioviMobile;2018;UFPI;JAVA;JOSÉ LINDENBERG ROCHA SARMENTO, LAYLSON DA SILVA BORGES, OTÁVIO CURY DA COSTA CASTRO, PEDRO DE ALCÂNTARA DOS SANTOS NETO;AG-10;FA-01, GI-01, GI-04, IA-02, TC-01
CaprioviMobile;2018;UFPI;JAVASCRIPT;JOSÉ LINDENBERG ROCHA SARMENTO, LAYLSON DA SILVA BORGES, OTÁVIO CURY DA COSTA CASTRO, PEDRO DE ALCÂNTARA DOS SANTOS NETO;AG-10;FA-01, GI-01, GI-04, IA-02, TC-01
CaprioviMobile;2018;UFPI;JSP;JOSÉ LINDENBERG ROCHA SARMENTO, LAYLSON DA SILVA BORGES, OTÁVIO CURY DA COSTA CASTRO, PEDRO DE ALCÂNTARA DOS SANTOS NETO;AG-10;FA-01, GI-01, GI-04, IA-02, TC-01
CaprioviMobile;2018;UFPI;XML;JOSÉ LINDENBERG ROCHA SARMENTO, LAYLSON DA SILVA BORGES, OTÁVIO CURY DA COSTA CASTRO, PEDRO DE ALCÂNTARA DOS SANTOS NETO;AG-10;FA-01, GI-01, GI-04, IA-02, TC-01
PLATAFORMA ARACHNOC;2018;UFPI;C++;IVAN SARAIVA SILVA, LAYSSON OLIVEIRA LUZ;CO-02, EN-05, IN-02;DS-06
EpAssistant Plus;2018;UFPI;PYTHON;ADALBERTO SOCORRO DA SILVA, KEYLLA MARIA DE SÁ URTIGA AITA, LUIZ CLAUDIO DEMES DA MATA SOUSA, RENATO SOUZA VIEIRA, SEMIRAMIS JAMIL HADAD DO MONTE;SD-08, SD-09;IA-02
Pedostudent;2018;UFPI;JAVA;KLENDSON MEDEIROS DA SILVA, RONNY SOBREIRA BARBOSA;ED-01, PD-01, PD-02, PD-03;FA-01
CODIVISION;2017;UFPI;CSS;FRANCISCO VANDERSON DE MOURA ALVES, IRVAYNE MATHEUS DE SOUSA IBIAPINA, PEDRO DE ALCÂNTARA DOS SANTOS NETO, WERNEY AYALA LUZ LIRA;IF-10;DS-01
CODIVISION;2017;UFPI;HTML;FRANCISCO VANDERSON DE MOURA ALVES, IRVAYNE MATHEUS DE SOUSA IBIAPINA, PEDRO DE ALCÂNTARA DOS SANTOS NETO, WERNEY AYALA LUZ LIRA;IF-10;DS-01
CODIVISION;2017;UFPI;JAVA;FRANCISCO VANDERSON DE MOURA ALVES, IRVAYNE MATHEUS DE SOUSA IBIAPINA, PEDRO DE ALCÂNTARA DOS SANTOS NETO, WERNEY AYALA LUZ LIRA;IF-10;DS-01
CODIVISION;2017;UFPI;JAVASCRIPT;FRANCISCO VANDERSON DE MOURA ALVES, IRVAYNE MATHEUS DE SOUSA IBIAPINA, PEDRO DE ALCÂNTARA DOS SANTOS NETO, WERNEY AYALA LUZ LIRA;IF-10;DS-01
CODIVISION;2017;UFPI;JSP;FRANCISCO VANDERSON DE MOURA ALVES, IRVAYNE MATHEUS DE SOUSA IBIAPINA, PEDRO DE ALCÂNTARA DOS SANTOS NETO, WERNEY AYALA LUZ LIRA;IF-10;DS-01
CODIVISION;2017;UFPI;XML;FRANCISCO VANDERSON DE MOURA ALVES, IRVAYNE MATHEUS DE SOUSA IBIAPINA, PEDRO DE ALCÂNTARA DOS SANTOS NETO, WERNEY AYALA LUZ LIRA;IF-10;DS-01
CAPRIOVI;2017;UFPI;CSS;JOSÉ LINDENBERG ROCHA SARMENTO, LAYLSON DA SILVA BORGES, OTÁVIO CURY DA COSTA CASTRO, PEDRO DE ALCÂNTARA DOS SANTOS NETO, THASCIANO LIMA CARVALHO;AG-10;FA-01, GI-01, GI-04  IA-02, TC-01
CAPRIOVI;2017;UFPI;HTML;JOSÉ LINDENBERG ROCHA SARMENTO, LAYLSON DA SILVA BORGES, OTÁVIO CURY DA COSTA CASTRO, PEDRO DE ALCÂNTARA DOS SANTOS NETO, THASCIANO LIMA CARVALHO;AG-10;FA-01, GI-01, GI-04  IA-02, TC-01
CAPRIOVI;2017;UFPI;JAVA;JOSÉ LINDENBERG ROCHA SARMENTO, LAYLSON DA SILVA BORGES, OTÁVIO CURY DA COSTA CASTRO, PEDRO DE ALCÂNTARA DOS SANTOS NETO, THASCIANO LIMA CARVALHO;AG-10;FA-01, GI-01, GI-04  IA-02, TC-01
CAPRIOVI;2017;UFPI;JAVASCRIPT;JOSÉ LINDENBERG ROCHA SARMENTO, LAYLSON DA SILVA BORGES, OTÁVIO CURY DA COSTA CASTRO, PEDRO DE ALCÂNTARA DOS SANTOS NETO, THASCIANO LIMA CARVALHO;AG-10;FA-01, GI-01, GI-04  IA-02, TC-01
CAPRIOVI;2017;UFPI;JSP;JOSÉ LINDENBERG ROCHA SARMENTO, LAYLSON DA SILVA BORGES, OTÁVIO CURY DA COSTA CASTRO, PEDRO DE ALCÂNTARA DOS SANTOS NETO, THASCIANO LIMA CARVALHO;AG-10;FA-01, GI-01, GI-04  IA-02, TC-01
CAPRIOVI;2017;UFPI;XML;JOSÉ LINDENBERG ROCHA SARMENTO, LAYLSON DA SILVA BORGES, OTÁVIO CURY DA COSTA CASTRO, PEDRO DE ALCÂNTARA DOS SANTOS NETO, THASCIANO LIMA CARVALHO;AG-10;FA-01, GI-01, GI-04  IA-02, TC-01
